"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"XMR","Donor",2184.68169282685,5329.70024324256,2.43957747288404,1,0.111111111111111,2.4009058446254,0
"BCH","Donor",0.00405735295659348,0.00370063153508407,0.912080258896454,2,0.222222222222222,0.256409431282605,0
"ZEC","Donor",0.00405735295659346,0.00370063153508405,0.912080258896452,3,0.333333333333333,0.256409431282602,0
"LTC","Donor",7649.50560450537,6267.06416104794,0.819277020642588,4,0.444444444444444,0.126120348095034,0
"DASH","Donor",5537.72712004491,2756.40341150241,0.497749952597891,5,0.555555555555556,-0.325280569628723,0
"ETH","Treated",1105.31839381988,514.225867160517,0.465228725076582,6,0.666666666666667,-0.370938038027561,17.528
"XRP","Donor",667.270203975946,152.763737724261,0.228938347335179,7,0.777777777777778,-0.702672762604263,0
"BSV","Donor",580.390726623406,104.292620143264,0.179693808600315,8,0.888888888888889,-0.771808559204476,0
"BTC","Donor",1829.97901013909,201.96055358713,0.110362224084625,9,1,-0.869145125820615,0
