"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"ZEC","Donor",957.390039306875,1523.34320200851,1.59114168673759,1,0.111111111111111,1.79725792225729,0
"DASH","Donor",810.83799646999,1053.30680869068,1.29903484207238,2,0.222222222222222,1.25660963282794,0
"XRP","Donor",7508.43025985399,6408.37993614329,0.853491304355261,3,0.333333333333333,0.431971813028998,0
"ETH","Treated",355.755914922614,240.67444132409,0.676515642407358,4,0.444444444444444,0.104414993836948,-13.113
"BSV","Donor",16914.0584200236,7325.29920515111,0.433089387729624,5,0.555555555555556,-0.346132436315028,0
"XMR","Donor",1917.69912235545,731.909880725098,0.38166043473291,6,0.666666666666667,-0.441320125246742,0
"BCH","Donor",13910.2459794519,2664.63864441586,0.191559419463326,7,0.777777777777778,-0.793170109597779,0
"LTC","Donor",3316.27638761882,476.565238117305,0.143704921548922,8,0.888888888888889,-0.881741989755453,0
"BTC","Donor",4233.1371550795,45.3529152530526,0.0107137835585204,9,1,-1.12788970103617,0
