"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"LTC","Donor",720.871979751065,2456.1772935648,3.40723091278007,1,0.111111111111111,1.74701260703793,0
"XMR","Donor",93.922865583298,316.804147103578,3.37302471699622,2,0.222222222222222,1.72214733548291,0
"XRP","Donor",841.533356560758,641.924117715295,0.762802939076305,3,0.333333333333333,-0.175282993716315,0
"ZEC","Donor",234.691627190505,147.091916563181,0.626745480117971,4,0.444444444444444,-0.274186294319013,0
"ETH","Treated",338.680005292653,130.570735677452,0.385528326553043,5,0.555555555555556,-0.449532598977438,-9.937
"BTC","Donor",8004.09850228151,2394.07454319463,0.299106082029378,6,0.666666666666667,-0.51235491900549,0
"BCH","Donor",1762.93477438254,120.270318926802,0.0682216498729661,7,0.777777777777778,-0.680190130488029,0
"BSV","Donor",1657.18167109031,109.429506756589,0.0660335005302058,8,0.888888888888889,-0.681780746642905,0
"DASH","Donor",248.775531674884,11.6186571971825,0.0467033760071167,9,1,-0.695832259371657,0
