"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"BSV","Donor",224.295978807257,357.527701179076,1.59399960302591,1,0.111111111111111,1.61938440302109,0
"XRP","Donor",319.42195142212,459.65743468417,1.43902894787818,2,0.222222222222222,1.28294610769368,0
"ZEC","Donor",68.0199887957061,70.4876571652493,1.03627857653659,3,0.333333333333333,0.408582840354614,0
"LTC","Donor",78.8148657948734,73.7208453573144,0.935367263698489,4,0.444444444444444,0.189506331720524,0
"XMR","Donor",273.843909112191,220.664848872206,0.805805210667664,5,0.555555555555556,-0.0917703797914522,0
"BTC","Donor",727.867972460389,442.799655033682,0.608351612912573,6,0.666666666666667,-0.520438321936108,0
"DASH","Donor",137.614702720644,81.9997840487948,0.595864994275019,7,0.777777777777778,-0.547546529517843,0
"BCH","Donor",666.291917259748,305.414615799838,0.458379589918955,8,0.888888888888889,-0.846024683526158,0
"ETH","Treated",127.91209353889,20.4165157280707,0.159613646866496,9,1,-1.49463976801835,-2.132
