"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"ETH","Treated",21.3940801380813,72.4826577012261,3.38797729247575,1,0.111111111111111,1.54926041732476,6.772
"XRP","Donor",2297.20725231713,6248.16890148284,2.71989777813058,2,0.222222222222222,0.721849618569354,0
"ZEC","Donor",2393.30492463673,6032.28377228713,2.52048274759755,3,0.333333333333333,0.474875798605881,0
"DASH","Donor",220.926832278203,548.773064342378,2.48395841593081,4,0.444444444444444,0.429640724352771,0
"XMR","Donor",843.859455823916,2008.84833757626,2.38054847132677,5,0.555555555555556,0.301568387113171,0
"LTC","Donor",2992.11893862267,6646.79927016708,2.2214355132643,6,0.666666666666667,0.104508341271408,0
"BSV","Donor",912.290432203132,1394.28533709874,1.52833493357112,7,0.777777777777778,-0.753890834197806,0
"BCH","Donor",449.162085174235,450.229314086347,1.00237604407705,8,0.888888888888889,-1.40528644733129,0
"BTC","Donor",329.286840946554,325.485632851417,0.988456240509916,9,1,-1.42252600570824,0
