"date","BTC","ETH","XRP","BCH","BSV","LTC","XMR","DASH","ETC","ZEC","DOGE"
"2014-11-28",376.45,NA,0.015165,NA,NA,3.6,0.564761,2.38,NA,NA,0.000245
"2014-11-29",375.49,NA,0.013982,NA,NA,3.59,0.565711,2.37,NA,NA,0.000243
"2014-11-30",378.05,NA,0.011211,NA,NA,3.58,0.567552,2.39,NA,NA,0.000242
"2014-12-01",379.24,NA,0.012559,NA,NA,3.58,0.4745,2.37,NA,NA,0.000242
"2014-12-02",381.32,NA,0.013158,NA,NA,3.63,0.527409,2.43,NA,NA,0.00024
"2014-12-03",375.01,NA,0.01313,NA,NA,3.61,0.507566,2.43,NA,NA,0.000237
"2014-12-04",369.6,NA,0.013343,NA,NA,3.59,0.456468,2.33,NA,NA,0.00023
"2014-12-05",376.85,NA,0.013785,NA,NA,3.62,0.428893,2.37,NA,NA,0.000233
"2014-12-06",374.79,NA,0.014406,NA,NA,3.61,0.443703,2.35,NA,NA,0.00023
"2014-12-07",375.1,NA,0.014794,NA,NA,3.71,0.470556,2.37,NA,NA,0.000229
"2014-12-08",361.91,NA,0.013421,NA,NA,3.65,0.448344,2.3,NA,NA,0.000221
"2014-12-09",352.22,NA,0.015068,NA,NA,3.52,0.389608,2.26,NA,NA,0.00021
"2014-12-10",346.36,NA,0.015907,NA,NA,3.5,0.389659,2.24,NA,NA,0.000209
"2014-12-11",350.51,NA,0.016374,NA,NA,3.48,0.398488,2.29,NA,NA,0.000206
"2014-12-12",352.54,NA,0.016374,NA,NA,3.49,0.375733,2.27,NA,NA,0.000206
"2014-12-13",347.38,NA,0.016992,NA,NA,3.48,0.375961,2.24,NA,NA,0.000202
"2014-12-14",351.63,NA,0.017127,NA,NA,3.48,0.383506,2.24,NA,NA,0.000196
"2014-12-15",345.35,NA,0.018242,NA,NA,3.45,0.382897,2.13,NA,NA,0.000188
"2014-12-16",327.06,NA,0.021539,NA,NA,3.02,0.337857,1.98,NA,NA,0.000173
"2014-12-17",319.78,NA,0.026065,NA,NA,2.94,0.338319,1.94,NA,NA,0.000179
"2014-12-18",311.4,NA,0.02794,NA,NA,2.81,0.316383,1.81,NA,NA,0.000177
"2014-12-19",317.84,NA,0.023338,NA,NA,2.87,0.319859,1.89,NA,NA,0.000194
"2014-12-20",329.96,NA,0.024207,NA,NA,2.92,0.339099,1.98,NA,NA,0.000206
"2014-12-21",320.84,NA,0.024921,NA,NA,2.85,0.343806,1.91,NA,NA,0.000193
"2014-12-22",331.89,NA,0.025562,NA,NA,2.89,0.344799,1.91,NA,NA,0.000195
"2014-12-23",334.57,NA,0.023878,NA,NA,2.88,0.381093,1.92,NA,NA,0.000195
"2014-12-24",322.53,NA,0.023382,NA,NA,2.74,0.425367,1.93,NA,NA,0.00019
"2014-12-25",319.01,NA,0.024138,NA,NA,2.7,0.452427,1.8,NA,NA,0.000185
"2014-12-26",327.92,NA,0.025308,NA,NA,2.78,0.4337,2.03,NA,NA,0.00019
"2014-12-27",315.86,NA,0.024074,NA,NA,2.72,0.510573,1.95,NA,NA,0.000184
"2014-12-28",317.24,NA,0.023764,NA,NA,2.73,0.563872,1.95,NA,NA,0.000184
"2014-12-29",312.67,NA,0.024231,NA,NA,2.69,0.487799,1.91,NA,NA,0.000182
"2014-12-30",310.74,NA,0.0242,NA,NA,2.7,0.489046,1.89,NA,NA,0.000179
"2014-12-31",320.19,NA,0.024438,NA,NA,2.72,0.43466,1.97,NA,NA,0.000187
"2015-01-01",314.25,NA,0.02439,NA,NA,2.7,0.46576,1.94,NA,NA,0.000183
"2015-01-02",315.03,NA,0.024318,NA,NA,2.67,0.459137,1.94,NA,NA,0.000186
"2015-01-03",281.08,NA,0.022106,NA,NA,2.13,0.461172,1.72,NA,NA,0.000167
"2015-01-04",264.2,NA,0.018928,NA,NA,1.96,0.417234,1.63,NA,NA,0.000158
"2015-01-05",274.47,NA,0.020316,NA,NA,2.08,0.421412,1.67,NA,NA,0.000161
"2015-01-06",286.19,NA,0.020732,NA,NA,2.11,0.461609,1.72,NA,NA,0.000168
"2015-01-07",294.34,NA,0.020843,NA,NA,2.12,0.463607,1.72,NA,NA,0.000173
"2015-01-08",283.35,NA,0.020676,NA,NA,2.01,0.429175,1.72,NA,NA,0.000168
"2015-01-09",290.41,NA,0.020576,NA,NA,1.98,0.431801,1.71,NA,NA,0.000171
"2015-01-10",274.8,NA,0.019233,NA,NA,1.65,0.419216,1.66,NA,NA,0.000162
