"date","BTC","ETH","XRP","BCH","BSV","LTC","XMR","DASH","ETC","ZEC","DOGE"
"2014-11-28",5101280353,NA,468309655,NA,NA,123377045,2759676,11639680,NA,NA,23525340
"2014-11-29",5089799280,NA,431780094,NA,NA,122878125,2767536,11637856,NA,NA,23345154
"2014-11-30",5125958175,NA,346223285,NA,NA,122633403,2776543,11695823,NA,NA,23290366
"2014-12-01",5143434464,NA,387823565,NA,NA,122774757,2344415,11622836,NA,NA,23250667
"2014-12-02",5172928823,NA,406333853,NA,NA,124732439,2615755,11932277,NA,NA,23139410
"2014-12-03",5088491940,NA,405478439,NA,NA,124182852,2526707,11936326,NA,NA,22804397
"2014-12-04",5016487250,NA,412053081,NA,NA,123618964,2280733,11431651,NA,NA,22171411
"2014-12-05",5116358331,NA,425696466,NA,NA,124598071,2151033,11671904,NA,NA,22511818
"2014-12-06",5089542822,NA,444879967,NA,NA,124574772,2233474,11571946,NA,NA,22144531
"2014-12-07",5094943517,NA,456865023,NA,NA,128024050,2377440,11664894,NA,NA,22101740
"2014-12-08",4917302822,NA,414446386,NA,NA,126144609,2268106,11318308,NA,NA,21383440
"2014-12-09",4786893958,NA,465326516,NA,NA,121694255,1970969,11134009,NA,NA,20298047
"2014-12-10",4708572401,NA,491245241,NA,NA,121102871,1971227,11041961,NA,NA,20173308
"2014-12-11",4766084199,NA,505654484,NA,NA,120544768,2015891,11323402,NA,NA,19907714
"2014-12-12",4795055945,NA,505654484,NA,NA,120843805,1900777,11232843,NA,NA,19946540
"2014-12-13",4726102586,NA,524745341,NA,NA,120581407,1901931,11046076,NA,NA,19547455
"2014-12-14",4785245608,NA,528898884,NA,NA,120836016,1940100,11065110,NA,NA,18946408
"2014-12-15",4700905209,NA,563322337,NA,NA,119903750,1937019,10526951,NA,NA,18223586
"2014-12-16",4453202603,NA,665141270,NA,NA,104860202,1709168,9783562,NA,NA,16768672
"2014-12-17",4355021350,NA,804913396,NA,NA,102333101,1711505,9604501,NA,NA,17367624
"2014-12-18",4241890806,NA,862822123,NA,NA,97722925,1600535,8960555,NA,NA,17104005
"2014-12-19",4330801581,NA,720712279,NA,NA,100016039,1685116,9397325,NA,NA,18802650
"2014-12-20",4496945577,NA,747548181,NA,NA,101992463,1792361,9848742,NA,NA,19942184
