"date","BTC","ETH","DOGE","ETC","XRP","LTC","BCH","ZEC","BSV","DASH","XMR"
"2014-11-28","40300030328",NA,18594,NA,NA,52647,NA,NA,40300030328,2943,943345166
"2014-11-29","40300030328",NA,19124,NA,NA,52380,NA,NA,40300030328,3438,968233305
"2014-11-30","40300030328",NA,19129,NA,NA,51270,NA,NA,40300030328,3254,992487361
"2014-12-01","40300030328",NA,18754,NA,NA,51270,NA,NA,40300030328,3132,890555535
"2014-12-02","40294179127",NA,19503,NA,NA,51270,NA,NA,40294179127,3234,867407653
"2014-12-03","40007470271",NA,20244,NA,NA,51958,NA,NA,40007470271,3314,879636194
"2014-12-04","40007470271",NA,17145,NA,NA,52191,NA,NA,40007470271,3638,958505213
"2014-12-05","40007470271",NA,17424,NA,NA,52191,NA,NA,40007470271,3211,988325182
"2014-12-06","40007470271",NA,19823,NA,NA,52050,NA,NA,40007470271,3478,1157257496
"2014-12-07","40007470271",NA,20459,NA,NA,51485,NA,NA,40007470271,3305,1184202184
"2014-12-08","40007470271",NA,19749,NA,NA,51485,NA,NA,40007470271,3525,1119796276
"2014-12-09","40007470271",NA,20614,NA,NA,51569,NA,NA,40007470271,3608,1106088557
"2014-12-10","40007470271",NA,20432,NA,NA,56651,NA,NA,40007470271,3287,935633655
"2014-12-11","40007470271",NA,19643,NA,NA,56651,NA,NA,40007470271,3406,833261643
"2014-12-12","40007470271",NA,20298,NA,NA,56651,NA,NA,40007470271,3416,886642378
"2014-12-13","40007470271",NA,21233,NA,NA,56399,NA,NA,40007470271,3474,944816080
"2014-12-14","40007470271",NA,20390,NA,NA,56133,NA,NA,40007470271,3198,916853190
"2014-12-15","40007470271",NA,20665,NA,NA,56133,NA,NA,40007470271,3305,871748211
"2014-12-16","40007470271",NA,20966,NA,NA,56168,NA,NA,40007470271,3288,898834325
"2014-12-17","39560758613",NA,19540,NA,NA,56939,NA,NA,39560758613,3422,933127286
"2014-12-18","39457671307",NA,20483,NA,NA,56939,NA,NA,39457671307,3095,913531057
"2014-12-19","39457671307",NA,19104,NA,NA,56939,NA,NA,39457671307,3105,934724086
"2014-12-20","39457671307",NA,19750,NA,NA,55879,NA,NA,39457671307,2799,964179281
"2014-12-21","39457671307",NA,19087,NA,NA,54138,NA,NA,39457671307,3047,953322082
"2014-12-22","39457671307",NA,20403,NA,NA,54138,NA,NA,39457671307,2943,889075570
"2014-12-23","39457671307",NA,20456,NA,NA,54138,NA,NA,39457671307,3064,949267003
"2014-12-24","39457671307",NA,21332,NA,NA,52800,NA,NA,39457671307,3082,982612956
"2014-12-25","39457671307",NA,21671,NA,NA,52357,NA,NA,39457671307,2954,997316128
"2014-12-26","39457671307",NA,21942,NA,NA,52357,NA,NA,39457671307,3002,1040845138
"2014-12-27","39457671307",NA,22188,NA,NA,56189,NA,NA,39457671307,3315,1200040710
"2014-12-28","39457671307",NA,21125,NA,NA,58967,NA,NA,39457671307,3156,1232065956
"2014-12-29","39457671307",NA,19819,NA,NA,58967,NA,NA,39457671307,3142,1098246691
"2014-12-30","39740132580",NA,21215,NA,NA,58967,NA,NA,39740132580,3227,1177622430
"2014-12-31","40640955017",NA,19623,NA,NA,55174,NA,NA,40640955017,3000,1180124902
"2015-01-01","40640955017",NA,21256,NA,NA,54623,NA,NA,40640955017,3152,1183250109
"2015-01-02","40640955017",NA,20196,NA,NA,54623,NA,NA,40640955017,3065,1131341076
"2015-01-03","40640955017",NA,20438,NA,NA,54279,NA,NA,40640955017,3088,1098355132
"2015-01-04","40640955017",NA,19307,NA,NA,53495,NA,NA,40640955017,3292,1001835616
"2015-01-05","40640955017",NA,18547,NA,NA,53495,NA,NA,40640955017,3133,1035967214
"2015-01-06","40640955017",NA,17682,NA,NA,53495,NA,NA,40640955017,3107,946018480
"2015-01-07","40640955017",NA,16286,NA,NA,51321,NA,NA,40640955017,3030,840214425
