"date","BTC","ETH","DOGE","ETC","XRP","LTC","BCH","ZEC","BSV","DASH","XMR"
"2014-11-28","0.0369",NA,0.000241,NA,NA,0.00355,NA,NA,NA,0.00233,NA
"2014-11-29","0.0379",NA,0.000243,NA,NA,0.0036,NA,NA,NA,0.0024,NA
"2014-11-30","0.0378",NA,0.00024,NA,NA,0.00359,NA,NA,NA,0.00239,NA
"2014-12-01","0.038",NA,0.000239,NA,NA,0.00357,NA,NA,NA,0.00237,NA
"2014-12-02","0.0381",NA,0.000237,NA,NA,0.00361,NA,NA,NA,0.0024,NA
"2014-12-03","0.0379",NA,0.000234,NA,NA,0.00361,NA,NA,NA,0.00242,NA
"2014-12-04","0.0374",NA,0.000227,NA,NA,0.0036,NA,NA,NA,0.00239,NA
"2014-12-05","0.0373",NA,0.000227,NA,NA,0.00569,NA,NA,NA,0.00234,NA
"2014-12-06","0.0375",NA,0.000227,NA,NA,0.0036,NA,NA,NA,0.00235,NA
"2014-12-07","0.0375",NA,0.000225,NA,NA,0.0037,NA,NA,NA,0.00234,NA
"2014-12-08","0.0369",NA,0.000219,NA,NA,0.00366,NA,NA,NA,0.00229,NA
"2014-12-09","0.0353",NA,0.000209,NA,NA,0.00355,NA,NA,NA,0.00224,NA
"2014-12-10","0.0349",NA,0.000205,NA,NA,0.0035,NA,NA,NA,0.00224,NA
"2014-12-11","0.0352",NA,0.000203,NA,NA,0.00349,NA,NA,NA,0.00227,NA
"2014-12-12","0.0351",NA,0.000202,NA,NA,0.00347,NA,NA,NA,0.00226,NA
"2014-12-13","0.0347",NA,0.000198,NA,NA,0.00346,NA,NA,NA,0.00222,NA
"2014-12-14","0.0348",NA,0.00019,NA,NA,0.00348,NA,NA,NA,0.00222,NA
"2014-12-15","0.0347",NA,0.000184,NA,NA,0.00346,NA,NA,NA,0.00218,NA
"2014-12-16","0.0335",NA,0.00017,NA,NA,0.00318,NA,NA,NA,0.00204,NA
"2014-12-17","0.0323",NA,0.000177,NA,NA,0.00298,NA,NA,NA,0.00191,NA
"2014-12-18","0.0313",NA,0.000178,NA,NA,0.00285,NA,NA,NA,0.00183,NA
"2014-12-19","0.0312",NA,0.000189,NA,NA,0.00282,NA,NA,NA,0.00182,NA
"2014-12-20","0.0325",NA,0.000202,NA,NA,0.00293,NA,NA,NA,0.00197,NA
"2014-12-21","0.0324",NA,0.000191,NA,NA,0.00288,NA,NA,NA,0.00194,NA
"2014-12-22","0.0328",NA,0.000191,NA,NA,0.00287,NA,NA,NA,0.00193,NA
"2014-12-23","0.0333",NA,0.000193,NA,NA,0.00288,NA,NA,NA,0.00191,NA
"2014-12-24","0.0329",NA,0.00019,NA,NA,0.00281,NA,NA,NA,0.00187,NA
"2014-12-25","0.0319",NA,0.000183,NA,NA,0.0027,NA,NA,NA,0.00187,NA
"2014-12-26","0.0323",NA,0.000186,NA,NA,0.00276,NA,NA,NA,0.00185,NA
"2014-12-27","0.0319",NA,0.000183,NA,NA,0.00274,NA,NA,NA,0.00194,NA
"2014-12-28","0.0315",NA,0.000179,NA,NA,0.00273,NA,NA,NA,0.00195,NA
"2014-12-29","0.0315",NA,0.000178,NA,NA,0.0027,NA,NA,NA,0.00193,NA
"2014-12-30","0.0312",NA,0.000178,NA,NA,0.0027,NA,NA,NA,0.0019,NA
"2014-12-31","0.0313",NA,0.00018,NA,NA,0.00271,NA,NA,NA,0.00191,NA
"2015-01-01","0.0316",NA,0.000182,NA,NA,0.00271,NA,NA,NA,0.00195,NA
"2015-01-02","0.0314",NA,0.000182,NA,NA,0.00268,NA,NA,NA,0.00192,NA
"2015-01-03","0.0304",NA,0.000174,NA,NA,0.00239,NA,NA,NA,0.00184,NA
"2015-01-04","0.0275",NA,0.000164,NA,NA,0.00205,NA,NA,NA,0.00167,NA
"2015-01-05","0.0272",NA,0.000159,NA,NA,0.00209,NA,NA,NA,0.00165,NA
"2015-01-06","0.0276",NA,0.000162,NA,NA,0.00209,NA,NA,NA,0.00166,NA
"2015-01-07","0.0287",NA,0.000171,NA,NA,0.00213,NA,NA,NA,0.00172,NA
"2015-01-08","0.0288",NA,0.000169,NA,NA,0.00207,NA,NA,NA,0.00171,NA
"2015-01-09","0.0284",NA,0.000167,NA,NA,0.002,NA,NA,NA,0.0017,NA
"2015-01-10","0.028",NA,0.000163,NA,NA,0.00181,NA,NA,NA,0.00168,NA
"2015-01-11","0.0273",NA,0.000159,NA,NA,0.00178,NA,NA,NA,0.00165,NA
"2015-01-12","0.0269",NA,0.000156,NA,NA,0.00174,NA,NA,NA,0.00164,NA
"2015-01-13","0.0239",NA,0.000141,NA,NA,0.00159,NA,NA,NA,0.00145,NA
"2015-01-14","0.0198",NA,0.000125,NA,NA,0.00135,NA,NA,NA,0.00118,NA
"2015-01-15","0.0206",NA,0.000137,NA,NA,0.00131,NA,NA,NA,0.00125,NA
"2015-01-16","0.0212",NA,0.000139,NA,NA,0.00139,NA,NA,NA,0.00132,NA
"2015-01-17","0.0201",NA,0.000136,NA,NA,0.00132,NA,NA,NA,0.00121,NA
