"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"ETH","Treated",56.0847848518335,688.344658480526,12.2732869582903,1,0.111111111111111,2.38443416049029,25.27
"XMR","Donor",80.7623046789115,421.147929606461,5.21465962717171,2,0.222222222222222,0.564917078611211,0
"BCH","Donor",182.148489606555,668.686576896016,3.6711068993237,3,0.333333333333333,0.167032274193379,0
"XRP","Donor",175.877728177001,380.976043625796,2.16614148689928,4,0.444444444444444,-0.220905797486839,0
"ZEC","Donor",114.287849161919,219.362299950425,1.91938427014791,5,0.555555555555556,-0.284512919650193,0
"BTC","Donor",440.57688098399,753.863533349106,1.7110828231963,6,0.666666666666667,-0.338207217865612,0
"BSV","Donor",919.492851141303,190.26700519968,0.206926029890841,7,0.777777777777778,-0.725936850109849,0
"LTC","Donor",2389.86327353112,55.9932730796363,0.0234294880798365,8,0.888888888888889,-0.773237136217736,0
"DASH","Donor",300.999044814225,6.64769906326504,0.0220854490331289,9,1,-0.773583591964651,0
