"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"XRP","Donor",340.960883483525,1504.15525035278,4.41151851492509,1,0.111111111111111,2.63435619766801,0
"BSV","Donor",259.649192190875,223.341875261696,0.860167803247049,2,0.222222222222222,0.022344819969775,0
"DASH","Donor",131.842507556195,58.4289218884309,0.443172107171331,3,0.333333333333333,-0.284354684255286,0
"ETH","Treated",111.274737917699,48.6774495981559,0.437452835289161,4,0.444444444444444,-0.288561197337548,-2.497
"ZEC","Donor",66.5807430205622,28.1928479802586,0.423438470362996,5,0.555555555555556,-0.298868734838136,0
"XMR","Donor",388.313880954243,118.220734492918,0.304446326261637,6,0.666666666666667,-0.386387219911269,0
"LTC","Donor",105.446624420186,28.6461258221109,0.271664702209539,7,0.777777777777778,-0.410498039133358,0
"BTC","Donor",778.629310783101,136.374987770043,0.175147513561857,8,0.888888888888889,-0.48148623921796,0
"BCH","Donor",646.309007047258,91.1794510458734,0.141077178333686,9,1,-0.506544902944226,0
