"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"BSV","Donor",79.4888442023337,3059.00992138494,38.4835123982735,1,0.111111111111111,1.95363393512354,0
"LTC","Donor",71.3614896943833,2290.12844248227,32.0919371539202,2,0.222222222222222,1.51433406615188,0
"BCH","Donor",27.5085166140591,201.38934997278,7.32098181804009,3,0.333333333333333,-0.188200444877885,0
"ETH","Treated",39.6237213900945,206.096856560859,5.20135033587181,4,0.444444444444444,-0.333885005692117,13.963
"XMR","Donor",108.520345069742,266.782388812891,2.45836288708296,5,0.555555555555556,-0.522413495270396,0
"ZEC","Donor",126.442378974355,218.334517397736,1.72675110329914,6,0.666666666666667,-0.572697963256328,0
"XRP","Donor",379.137553699197,468.836030249874,1.23658557606732,7,0.777777777777778,-0.606387569285389,0
"BTC","Donor",186.198975224769,223.696405140809,1.20138365353932,8,0.888888888888889,-0.608807035436205,0
"DASH","Donor",153.699501325686,124.789027874678,0.811902620362133,9,1,-0.635576487457104,0
