"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"XMR","Donor",2184.68169282685,5233.34903317709,2.39547438437379,1,0.111111111111111,2.11377776969387,0
"XRP","Donor",667.270203975946,1120.32388095356,1.67896584363887,2,0.222222222222222,1.20552202763562,0
"BCH","Donor",0.00405735295659348,0.00249287942633646,0.614410294841458,3,0.333333333333333,-0.143922724193153,0
"ZEC","Donor",0.00405735295659346,0.00249287942633644,0.614410294841457,4,0.444444444444444,-0.143922724193155,0
"ETH","Treated",1105.31839381988,504.731151495782,0.45663869733632,5,0.555555555555556,-0.343916096527231,4.5
"LTC","Donor",7649.50560450537,3072.60261027336,0.401673358924486,6,0.666666666666667,-0.413590889482968,0
"DASH","Donor",5537.72712004491,1216.11391394781,0.219605243737244,7,0.777777777777778,-0.644382850308617,0
"BSV","Donor",580.390726623406,72.1639929839884,0.124336915932175,8,0.888888888888889,-0.765146247876063,0
"BTC","Donor",1829.97901013909,84.220753020627,0.0460227972856507,9,1,-0.864418264748298,0
