"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"BSV","Donor",62.6134167433461,1526.93301865768,24.3866745831268,1,0.111111111111111,2.66576207672382,0
"XRP","Donor",662.990861332801,508.1907044974,0.76651238220055,2,0.222222222222222,-0.310006247683688,0
"ETH","Treated",41.5114202133072,31.5362834609627,0.759701385761145,3,0.333333333333333,-0.310864325934364,2.273
"XMR","Donor",453.042998121822,341.778615372918,0.754406572422105,4,0.444444444444444,-0.311531389000397,0
"BTC","Donor",28.7750074454236,20.4123773902594,0.709378700560711,5,0.555555555555556,-0.317204191484174,0
"ZEC","Donor",446.710461362344,252.784835499649,0.5658807155058,6,0.666666666666667,-0.335282676928527,0
"LTC","Donor",77.923668007368,38.5400210339735,0.494586844016755,7,0.777777777777778,-0.344264581569857,0
"BCH","Donor",642.346858034938,313.223625481848,0.487623815021153,8,0.888888888888889,-0.345141813527487,0
"DASH","Donor",273.609001972214,32.8108674997393,0.119918815767148,9,1,-0.391466850595329,0
