"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"BTC","Donor",372.937386097086,7212.06164782456,19.3385321951794,1,0.111111111111111,1.49951730084208,0
"LTC","Donor",57.0147658033407,951.758441349974,16.6931921571483,2,0.222222222222222,1.17127905180233,0
"ETH","Treated",92.3934358816347,1480.30451431323,16.0217498157515,3,0.333333333333333,1.08796535477181,25.49
"BCH","Donor",98.7606371665686,860.353194659778,8.71149902778286,4,0.444444444444444,0.180897119993899,0
"XRP","Donor",2458.26376353229,6173.92228238402,2.51149708748612,5,0.555555555555556,-0.588409567111883,0
"BSV","Donor",211.650070754375,239.594863010202,1.13203299274233,6,0.666666666666667,-0.759575796240181,0
"XMR","Donor",1475.65427409167,714.909396459331,0.484469437734247,7,0.777777777777778,-0.839926573222336,0
"ZEC","Donor",1527.61473742924,418.912937863548,0.274226824080344,8,0.888888888888889,-0.866013830961292,0
"DASH","Donor",2437.15748178191,281.01759807324,0.115305473763549,9,1,-0.885733059874427,0
