"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"ZEC","Donor",131.943601658197,6514.69956389312,49.3748804945435,1,0.111111111111111,2.40484005829371,0
"XRP","Donor",260.258480143009,5867.90970529938,22.5464688108339,2,0.222222222222222,0.760605369766365,0
"LTC","Donor",50.963188749696,435.476883647376,8.54493006287746,3,0.333333333333333,-0.0975078861938724,0
"BCH","Donor",30.3861259774167,125.121999952801,4.11773452284746,4,0.444444444444444,-0.368837719865351,0
"XMR","Donor",67.3174007038102,254.380419769206,3.77882118307648,5,0.555555555555556,-0.389608724732347,0
"BTC","Donor",241.129727361915,422.239184867009,1.75108722382149,6,0.666666666666667,-0.513882593577755,0
"ETH","Treated",25.5357491416822,24.8438544606441,0.972904860664193,7,0.777777777777778,-0.561575108907701,0.81
"DASH","Donor",161.599976732704,19.0806614661084,0.118073417161866,8,0.888888888888889,-0.613965221629278,0
"BSV","Donor",79.2282430279856,1.46521994879435,0.0184936569687251,9,1,-0.62006817315377,0
