"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"XRP","Donor",340.960883483525,1606.90751356885,4.71287936947903,1,0.111111111111111,2.60146038847568,0
"BSV","Donor",259.649192190875,315.112676228863,1.21360930711934,2,0.222222222222222,0.198771335823272,0
"DASH","Donor",131.842507556195,82.52859680287,0.625963494874324,3,0.333333333333333,-0.204721431169968,0
"ZEC","Donor",66.5807430205622,30.3499225461938,0.455836345004753,4,0.444444444444444,-0.321535118958023,0
"XMR","Donor",388.313880954243,155.747945395426,0.401087761819615,5,0.555555555555556,-0.359126907851977,0
"BTC","Donor",778.629310783101,209.519626798086,0.269087772443813,6,0.666666666666667,-0.449761504145355,0
"ETH","Treated",111.274737917699,27.359998253098,0.24587789434592,7,0.777777777777778,-0.465698004908488,-4.102
"LTC","Donor",105.446624420186,21.6588862152872,0.205401418342046,8,0.888888888888889,-0.493490197008938,0
"BCH","Donor",646.309007047258,121.073008451687,0.187329910509562,9,1,-0.505898560256201,0
