"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"ETH","Treated",41.1177032761505,90.21288948016,2.19401577160771,1,0.111111111111111,2.21086298938512,-4.037
"XRP","Donor",386.853244469808,499.709851686896,1.29172976789108,2,0.222222222222222,0.87517810389551,0
"DASH","Donor",169.444239752161,146.394753401806,0.863970080162836,3,0.333333333333333,0.241950782218238,0
"BSV","Donor",211.607152494403,121.21885285733,0.572848561253315,4,0.444444444444444,-0.189006376649921,0
"ZEC","Donor",261.410432707097,121.643204932708,0.465334163112786,5,0.555555555555556,-0.34816362388338,0
"XMR","Donor",96.0731400507759,37.1793620435117,0.386990182936271,6,0.666666666666667,-0.464138901965753,0
"LTC","Donor",123.840417360631,39.3309147761185,0.317593525719348,7,0.777777777777778,-0.566869151317218,0
"BCH","Donor",126.246646976207,26.2516396873741,0.20793930227962,8,0.888888888888889,-0.729194055255929,0
"BTC","Donor",3421.73213919399,14.7793827970654,0.00431926936295686,9,1,-1.03061976642666,0
