"unit_name","type","pre_mspe","post_mspe","mspe_ratio","rank","fishers_exact_pvalue","z_score","Treatment"
"ETH","Treated",45.9620592594232,468.247509217505,10.1876964775355,1,0.111111111111111,2.62668472529175,20.737
"XMR","Donor",60.6575022384296,108.226153051692,1.78421710518646,2,0.222222222222222,0.0733499115984828,0
"XRP","Donor",100.075933863633,86.2656808695478,0.862002257077073,3,0.333333333333333,-0.206858222800056,0
"BCH","Donor",325.137982498325,169.84308073799,0.522372315387252,4,0.444444444444444,-0.310052258920695,0
"ZEC","Donor",119.843903509219,27.8485864695248,0.232373826736898,5,0.555555555555556,-0.398166146535605,0
"BTC","Donor",404.486400058381,63.7562787054873,0.157622799422391,6,0.666666666666667,-0.420878691178659,0
"BSV","Donor",2952.56608655571,273.7454664759,0.0927144248260453,7,0.777777777777778,-0.440600618872374,0
"DASH","Donor",199.746405042684,6.35616745990803,0.0318211857607639,8,0.888888888888889,-0.459102577446287,0
"LTC","Donor",2926.18412895355,42.3272966481779,0.014465014771068,9,1,-0.464376121136561,0
